Year,Note,Count
31/1/2010,$5 notes,683
31/1/2010,$10 notes,1013
31/1/2010,$20 notes,2792
31/1/2010,$50 notes,23969
31/1/2010,$100 notes,20583
31/1/2011,$5 notes,714
31/1/2011,$10 notes,1033
31/1/2011,$20 notes,2855
31/1/2011,$50 notes,24485
31/1/2011,$100 notes,21156
31/1/2012,$5 notes,748
31/1/2012,$10 notes,1080
31/1/2012,$20 notes,3059
31/1/2012,$50 notes,25786
31/1/2012,$100 notes,22711
31/1/2013,$5 notes,789
31/1/2013,$10 notes,1115
31/1/2013,$20 notes,3219
31/1/2013,$50 notes,27029
31/1/2013,$100 notes,24433
31/1/2014,$5 notes,820
31/1/2014,$10 notes,1152
31/1/2014,$20 notes,3206
31/1/2014,$50 notes,28694
31/1/2014,$100 notes,26766
31/1/2015,$5 notes,846
31/1/2015,$10 notes,1187
31/1/2015,$20 notes,3175
31/1/2015,$50 notes,30322
31/1/2015,$100 notes,29123
31/1/2016,$5 notes,873
31/1/2016,$10 notes,1219
31/1/2016,$20 notes,3240
31/1/2016,$50 notes,32151
31/1/2016,$100 notes,32503
31/1/2017,$5 notes,1077
31/1/2017,$10 notes,1288
31/1/2017,$20 notes,3342
31/1/2017,$50 notes,34011
31/1/2017,$100 notes,34309
31/1/2018,$5 notes,1094
31/1/2018,$10 notes,1418
31/1/2018,$20 notes,3365
31/1/2018,$50 notes,35674
31/1/2018,$100 notes,34313
31/1/2019,$5 notes,1032
31/1/2019,$10 notes,1385
31/1/2019,$20 notes,3481
31/1/2019,$50 notes,38572
31/1/2019,$100 notes,36087
31/1/2020,$5 notes,1060
31/1/2020,$10 notes,1440
31/1/2020,$20 notes,3715
31/1/2020,$50 notes,39211
31/1/2020,$100 notes,37894
31/1/2021,$5 notes,1040
31/1/2021,$10 notes,1405
31/1/2021,$20 notes,3800
31/1/2021,$50 notes,48569
31/1/2021,$100 notes,43316
31/1/2022,$5 notes,1047
31/1/2022,$10 notes,1396
31/1/2022,$20 notes,3795
31/1/2022,$50 notes,50240
31/1/2022,$100 notes,45958
31/1/2023,$5 notes,1039
31/1/2023,$10 notes,1403
31/1/2023,$20 notes,3818
31/1/2023,$50 notes,49566
31/1/2023,$100 notes,47786
31/1/2024,$5 notes,1023
31/1/2024,$10 notes,1417
31/1/2024,$20 notes,3707
31/1/2024,$50 notes,47336
31/1/2024,$100 notes,48400
